#haḷagannaḍa pada sampada, a dictionary of Old Kannada. Data as scraped from Bharatavani.in

ಅ(ಬ್ಬಾ)ಬ್ಬೆ ,(ಅಂಬಾ) ತಾಯಿ
ಕೆಮ್ಮನೆ ,"ಕೆಮ್ಮಗೆ, ಸುಮ್ಮನೆ; ವಿಚಾರ ಮಾಡದೆ"
ಕೆಮ್ಮುಗಿಲ್ ,ಕೆಂಪು ಮೋಡ
ಕೆಯ್ ,ಕೈ; ಮಾಡು; ನೆರವೇರಿಸು; ಹಸ್ತ; ಮರದ ಕೊಂಬೆ; ಸಾಗುವಳಿ ಭೂಮಿ; ಸೊಂಡಿಲು
ಕೆಯ್ಕುಸುರಿ ,"ಕೈಸುರಿ, ಕೈಚಳಕ"
ಕೆಯ್ಕೊಳಿಸು ,"ಕೈಕೊಳಿಸು, ಕೈಗೊಳ್ಳುವಂತೆ ಮಾಡು"
ಕೆಯ್ಕೊಳ್ ,"ಕೈಗೊಳ್ಳು, ಸ್ವೀಕರಿಸು; ತನ್ನದಾಗಿಸಿಕೊ; ಕೈಗೆತ್ತಿಕೊ; ಆಕ್ರಮಿಸು; ಗ್ರಹಿಸು"
ಕೆಯ್ಗಟ್ಟಲೆ ,"ಕೈಗಟ್ಟಲೆ, ಕೈಯ ಅಳತೆ, ಕೈ ಹಿಡಿಯುವಷ್ಟು; ಕೈಯೇ ತೂಕ"
ಕೆಯ್ಗಟ್ಟಿ ,"ಕೈಗಟ್ಟಿ, ತೆಯ್ದ ಗಂಧ, ಕೈಗೆ ಹಚ್ಚಿಕೊಳ್ಳುವ ಗಂಧ"
ಕೆಯ್ಗಟ್ಟಿಗೊಳ್ ,"ಕೈಗಟ್ಟಿಗೊಳ್, ಸುಗಂಧವ್ನು ಕೈಗೆ ಲೇಪಿಸಿಕೊ"
ಕೆಯ್ಗಡಿ ,"ಕೈಗಡಿ, ಕತ್ತರಿಸಲಾದ ಸೊಂಡಿಲ ತುಂಡು"
ಕೆಯ್ಗಣ್ಮು ,"ಕೈಗಣ್ಮು, ಮಿತಿಮೀರು, ಕೈಮೀರು"
ಕೆಯ್ಗೞಿ ,"ಕೈಗಱಿ, ಕೈಮೀರು, ಅತಿಯಾಗು"
ಕೆಯ್ಗಾ(ಯ್) ,"ಕೈಗಾಯ್, ನಿಧಾನಿಸು; ರಕ್ಷಿಸು"
ಕೆಯ್ಗಾವಲಿ ,"ಕೈಗಾವಲಿ, ಚಿಕ್ಕ ಕಾವಲಿ"
ಕೆಯ್ಗೂಡು ,"ಕೈಗೂಡು, ಒದಗು, ದೊರಕು; ಸಿದ್ಧಿಸು; ಸ್ವಾಧೀನವಾಗು"
ಕೆಯ್ಗೆಮಾಡು ,"ಕೈಗೆಮಾಡು, ತನ್ನದಾಗಿಸಿಕೊ, ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳು"
ಕೆಯ್ಗೆಮಾಡು ,"ಕೈಗೆಮಾಡು, ವಶಪಡಿಸಿಕೊ"
ಕೆಯ್ಗೆಯ್ ,"ಕೈಗೈ, ಅಲಂಕರಿಸು; ಅಲಂಕರಿಸಿಕೊ"
ಕೆಯ್ಗೆಯ್ಸು ,"ಕೈಗೈಸು, ಅಲಂಕರಿಸು"
ಕೆಯ್ಗೊಡು ,"ಕೈಗೊಡು, ಕೈ ನೀಡು; ಕೈಯಾಸರೆ ನೀಡು; ಕರೆತರಲು ಗೌರವದಿಮದ ಕೈ ಚಾಚು; ಸಹಾಯ ಮಾಡು"
ಕೆಯ್ಗೊಳಿಸು ,"ಕೈಗೊಳಿಸು, ಸಿಂಗರಿಸು; ಅಣಿಗೊಳಿಸು"
ಕೆಯ್ತ ,"ಕೈತ, ಕೆಲಸ; ಚೇಷ್ಟೆ; ಮೋಸ"
ಕೆಯ್ತೀವು ,"ಕೈತೀವು, ಕೈತುಂಬು"
ಕೆಯ್ದರ್ ,ಕೈಯನ್ನು ತಾ; ಕೈ ನೀಡು
ಕೆಯ್ದೀವಿಗೆ ,"ಕೈದೀವಿಗೆ, ಕೈ ದೀಪ"
ಕೆಯ್ದು ,"ಕೈದು, ಆಯುಧ"
ಕೆಯ್ದುಕಾಱ ,"ಆಯುಧ ಹಿಡಿದವನು, ಯೋಧ"
ಕೆಯ್ದುಗೆಯ್ ,ಆಯುಧಪ್ರಯೋಗ; (ಯುದ್ಧ) ಮಾಡು
ಕೆಯ್ದುಗೊಳ್ ,"ಕೈದುಗೊಳ್, ಆಯುಧ ಹಿಡಿ; ಯುದ್ಧ ಮಾಡು"
ಕೆಯ್ದುವೊಱು ,"ಕೈದುವೊಱು, ಕೆಯ್ದುವಿಡಿ"
ಕೆಯ್ದೆಗೆ ,"ಕೈದೆಗೆ, ಕೈ ಹಿಂದಕ್ಕೆ ತೆಗೆದುಕೊ; ಹಿಮ್ಮಟ್ಟು"
ಕೆಯ್ನಿಱಿ ,"ಕೈನಿಱಿ, ಕೈ ನಿಮಿರು; ಕೈ ತೂಗು"
ಕೆಯ್ನೀಡು ,"ಕೈನೀಡು, ಕೈಯೊಡ್ಡು; ನೆರವಾಗು"
ಕೆಯ್ನೀರೆಱೆ ,"ಕೈನೀರೆಱೆ, ಧಾರೆ ಎರೆ"
ಕೆಯ್ನೀರ್ ,"ಕೈನೀರ್, ಕೈಗೆ ಸುರಿವ ನೀರು; ಧಾರೆಯ ನೀರು"
ಕೆಯ್ನೆರವು ,"ಕೈನೆರವು, ಬೆಂಬಲ"
ಕೆಯ್ಪಗೆ ,"ಕೈಬಗೆ, ಕಾಳಗದ ಒಂದು ಬಗೆ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)"
ಕೆಯ್ಪಱೆ ,"ಕೈಪಱೆ, ಚಪ್ಪಾಳೆ; ಕೈ ತಮಟೆ"
ಕೆಯ್ಪಱೆಗುಟ್ಟು ,"ಕೈಪಱೆಗುಟ್ಟು, ಚಪ್ಪಾಳೆ ತಟ್ಟು"
ಕೆಯ್ಪಿಡಿ ,"ಕೈಪಿಡಿ, ಕನ್ನಡಿ; ಒಂದು ಬಗೆಯ ಆಯುಧ(?); ಕೈಹಿಡಿಕೆ; ಚುಕ್ಕಾಣಿ"
ಕೆಯ್ಪೊಡೆ ,ಬಾಣದ ಗರಿ; ಕೈಚೀಲ; ಬಿಲ್ಲಿನ ಹೆದೆ ತಾಗದಂತೆ ಮುಂಗೈಗೆ ಹಾಕುವ ಗೌಸು
ಕೆಯ್ಪೊಡೆ , (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಕೆಯ್ಮಱೆ ,"ಕೈಮಱೆ, ಬೆರಗಾಗು; ಒಂದು ನೃತ್ಯ ಭಂಗಿ"
ಕೆಯ್ಮಾಡು ,"ಕೈಯಾಡು, ಕೈಯಿಂದ ಸನ್ನೆ ಮಾಡು; ಆಯುಧ ಝಳಪಿಸು; ದಾಳಿ ಮಾಡು"
ಕೆಯ್ಮಾಸು ,"ಕೈಮಾಸು, ಮೈಲಿಗೆಯಾಗು"
ಕೆಯ್ಮಿಗು ,"ಕೈಮಿಗು, ಹೆಚ್ಚಾಗು; ಮಿತಿ ಮೀರು"
ಕೆಯ್ಮೀಱು ,"ಕೈಮೀಱು, ಮಿತಿ ಮೀರು"
ಕೆಯ್ಮೀಱುಹ ,"ಕೈಮೀಱುಹ, ಮಿತಿ ಮೀರುವಿಕೆ"
ಕೆಯ್ಮುಗಿ ,"ಕೈಮುಗಿ, ಕೈಜೋಡಿಸು"
ಕೆಯ್ಯಳವಿ ,ಭುಜಬಲ; ಶಕ್ತಿಸಾಧ್ಯವಾದುದು
ಕೆಯ್ಯಳವು ,ಕೆಯ್ಯಳವಿ
ಕೆಯ್ಯಾನ್ ,"ಕಯಯಾನ್, ಕೈ ಚಾಚು; ಬೇಡು"
ಕೆಯ್ಯಿಕ್ಕು ,"ಕೈಯಿಕ್ಕು, ಕೈಯಿಡು, ಕೈಯಿಡು; ಹಿಡಿದುಕೊ; ಸುಮ್ಮನಿರು"
ಕೆಯ್ಯೆಡೆ ,"ಕೈಯೆಡೆ, ಒತ್ತೆ; ಕೈಗೆ ಕೊಟ್ಟದ್ದು"
ಕೆಯ್ಯೆತ್ತು ,"ಕೈಯೆತ್ತು, ಕೈ ಅಥವಾ ಸೊಂಡಿಲು ಮೇಲಕ್ಕೆತ್ತು"
ಕೆಯ್ಯೊಡ್ಡು ,"ಕೈಯೊಡ್ಡು, ಕೈ ಚಾಚು"
ಕೆಯ್ವತ್ತು ,"ಕೆಯ್+ಪತ್ತು, ಕೈಗೆ ಹತ್ತು"
ಕೆಯ್ವರಿ ,"ಕೈವರಿ, ಕೈಮೀರು (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)"
ಕೆಯ್ವರ್ ,"ಕೈವರ್, ಕೈಗೆ ಬರು; ದೊರಕು; ಚಿಗುರು; ವೃದ್ಧಿಯಾಗು"
ಕೆಯ್ವಲ ,"ಕೈವಲ, ಕೈಯ ಶಕ್ತಿ, ಭುಜಬಲ"
ಕೆಯ್ವಸ ,"ಕೈವಸ, ಕೈವಶ, ಸ್ವಾಧೀನ"
ಕೆಯ್ವಸಗೊಳ್ ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊ
ಕೆಯ್ವೞಿ ,"ಕೈವಱಿ, ಹೊಲಗದ್ದೆಗಳ ಪ್ರದೇಶ"
ಕೆಯ್ವಾರ ,"ಕೈವಾರ, ಹೊಗಳಿಕೆ; ವರ್ತುಲ ಬರೆಯುವ ಸಾಧನ, ಬಟ್ಟತ್ತಾಗಿ ತೋರ್ಪುದು"
ಕೆಯ್ವಿಡಿ ,"ಕೈವಿಡಿ, ಕೈಯನ್ನು (ಸೊಂಡಿಲನ್ನು) ಹಿಡಿ; ಕೈಯಿಂದ ಹಿಡಿ"
ಕೆಯ್ವಿಡು ,"ಕೈವಿಡು, ಕೈಬಿಡು; ತ್ಯಜಿಸು; ಚಿಗುರು"
ಕೆಯ್ವೀಸು ,"ಕೈವೀಸು, ಯುದ್ಧಾರಂಭಕ್ಕೆ ಕೈ ಬೀಸಿ ಸನ್ನೆ ಮಾಡು, ಹಸ್ತಸೂಚನೆ"
ಕೆಯ್ವೀೞ್ ,"ಕೈವೀೞ್, ಕೈಗೆ ಸಿಕ್ಕು, ವಶವಾಗು"
ಕೆಯ್ವುಗು ,"ಕೈವುಗು, ಕೈಸೇರು"
ಕೆಯ್ವೆಸ ,"ಕೈವೆಸ, ಕೈಚಳಕ"
ಕೆಯ್ವೇಗ ,"ಕೈವೇಗ, ಬಾಣಪ್ರಯೋಗದ ಕೈಚಳಕ"
ಕೆಯ್ವೊಯ್ ,"ಕೈವೊಯ್, ಕೈ ತಟ್ಟು; ಕಾಳಗಕ್ಕೆ ಕರೆ"
ಕೆಯ್ವೊಲ ,ಗದ್ದೆ
ಕೆಯ್ವೊಲಂಗಾ ,"ಕೈವೊಲಂಗಾ, ಗದ್ದೆಯನ್ನು ಕಾಯಿ"
ಕೆಯ್ವೋಗು ,"ಕೈವೋಗು, ಕೈತಪ್ಪು; ಚಿಗುರು"
ಕೆಯ್ಸನ್ನೆ ,"ಕೈಸನ್ನೆ, ಕೈಯಿಂದ ಮಾಡುವ ಸನ್ನೆ"
ಕೆಯ್ಸನ್ನೆಗೆಯ್ ,"ಕೈಸನ್ನೆಗೈ, ಕೈಯಿಂದ ಸನ್ನೆಮಾಡು"
ಕೆಯ್ಸಾರ್ ,"ಕೈಸಾರ್, ಈಡೇರು; ವಶವಾಗು"
ಕೆಯ್ಸು ,"ಕೈಸು, ಮಾಡಿಸು"
ಕೆಯ್ಸುರಿಗೆ ,"ಕೈಸುರಿಗೆ, ಕೈಗತ್ತಿ"
ಕೆಯ್ಸೆಱೆ ,"ಕೈಸೆಱೆ, ಬಂಧನ"
ಕೆಯ್ಸೆಱೆಗೊಳ್ ,"ಕೈಸೆರೆಗೊಳ್, ಸೆರೆಹಿಡಿ, ಬಂಧಿಸು"
ಕೆರಂಕು ,"ಕೆರಿ; ಕಜ್ಜಿ, ತುರಿ"
ಕೆರಂಟು ,"ಉಗುರಿನಿಂದ ಗೀಚು, ನಖ ಖನನ"
ಕೆರಪು ,"ಕೆರ್ಪು, ಚಪ್ಪಲಿ"
ಕೆರಸಿ ,"ಚೌಕಾಕಾರದ ಬಿದಿರ ಕುಕ್ಕೆ, ಮೊರ"
ಕೆರಳ್ಚು ,ರೇಗಿಸು; ಭುಜತಟ್ಟು; ಸ್ಫೋಟಗೊಳಿಸು
ಕೆರಿಯಾಗೋಪಕ ,ಒಂದು ಶಬ್ದಾಲಂಕಾರ
ಕೆರೆ ,ಉಗುರಿನಿಂದ ಗೀರು
ಕೆರ್ಚು ,"ಕೆಚ್ಚು, ದಂಟು"
ಕೆರ್ಚುವೀೞ್ ,ದಡ್ಡುಗಟ್ಟು
ಕೆರ್ಪು ,ಪಾದರಕ್ಷೆ
ಕೆರ್ಪುಗಾಲ್ ,ಪಾದರಕ್ಷೆ ಹಾಕಿದ ಕಾಲು
ಕೆರ್ಮಸಗು ,"ಕೆಸರು ತುಂಬು, ಬಗ್ಗಡಗೊಳ್ಳು"
ಕೆಱೆ ,"ತಟಾಕ, ಕಟ್ಟೆ ಹಾಕಿ ನೀರು ನಿಲ್ಲಿಸಿದ ಸ್ಥಳ"
ಕೆಲ ,"ಪಕ್ಕ, ಪಕ್ಕದಲ್ಲಿರುವವನು; ಪ್ರದೇಶ, ಸ್ಥಳ; ಕೊಂಚ; ಕೆಲವು"
ಕೆಲಂ ,ಪಕ್ಕಕ್ಕೆ
ಕೆಲಜಂಕೆ ,ಮಗ್ಗುಲನ್ನು ಹೆದರಿಸುವುದು
ಕೆಲಜಂಕೆ ,ಕಾಳಗದ ಒಂದು ವರಸೆ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಕೆಲದ ,ಪಕ್ಕದಲ್ಲಿರುವವನು
ಕೆಲಂದೆಗೆ ,ಪಕ್ಕಕ್ಕೆ ಸರಿಸು
ಕೆಲಂದೊಲಗು ,ಪಕ್ಕಕ್ಕೆ ಹೋಗು
ಕೆಲಂದೋಱು ,ಪಕ್ಕಕ್ಕೆ ಕಾಣು
ಕೆಲಪು ,"ಗುಟುರು, ಕೆಲೆಯುವಿಕೆ"
ಕೆಲಂಬರ್ ,ಸ್ವಲ್ಪ ಜನ
ಕೆಲಂಬಿಡಿ ,ಮಗ್ಗುಲಾಗು
ಕೆಲವಣಿ ,ಕೆಲವು ಮಣಿ; ಪಕ್ಕದ ಮಣಿ
ಕೆಲವಾೞು ,ನೆರಹೊರೆಯವರ ಮೋಸ
ಕೆಲಸಂಗೆಯ್ ,ಕೆಲಸ ಮಾಡು
ಕೆಲಸಂಬೊಗು ,ಕೆಲಸಕ್ಕೆ ತೊಡಗು
ಕೆಲೆ ,ಗುಟುರು ಹಾಕು; ಉತ್ಸಾಹದಿಂದ ಕೂಗು
ಕೆಲ್ಲಂಬು ,ಈಟಿಯಂತಹ ಬಾಣ
ಕೆಲ್ಲಯಿಸು ,"ಕೆಲ್ಲೈಸು, ಬೆದರು, ಗಾಬರಿಗೊಳ್ಳು"
ಕೆಲ್ಲೆ ,ಸಿಬುರು
ಕೆಲ್ಲೆನೋಟ ,ಓರೆನೋಟ
ಕೆಸಱ ಕಡಿತ , (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಕೆಸಱಂಕ ,ಜಟ್ಟಿ
ಕೆಸಱಕಡಿತ ,ಕೆಸರಿನ ಮೇಲೆ ಹರಡಿನ ಕಡತ
ಕೆಸಱಿಗೆ ,ಬಚ್ಚಲು
ಕೆಸಱ್ ,"ಕೆಸರು, ರಾಡಿ"
ಕೆಸವು ,"ಅಣಬೆ, ಛತ್ರಿಕೆ"
ಕೆಳಗಿವಿಗೆಯ್ ,ಅಲಕ್ಷ್ಯಮಾಡು
ಕೆಳಗೊಲೆ ,ಕೆಂಪಾದ ಗೊನೆ
ಕೆಳಯಿಂಕೆ ,ಕೆಳಗಡೆಗೆ
ಕೆಳರ್ ,ಬಾಯಿಬಿಡು; ವ್ಯಾಪಿಸು; ಆಕಳಿಸು; ಕೋಪಿಸಿಕೋ
ಕೆಳರ್ಚು ,"ಕೆರಳಿಸು, ರೇಗಿಸು"
ಕೆಳವಾಡಿ ,ಒಂದು ಬಗೆಯ ಕಬ್ಬು
ಕೆಳವು ,ಎಳೆಯುವಿಕೆ
ಕೆಳಸಾರ್ ,ಕೆಳಕ್ಕೆ ಹೋಗು
ಕೆಳಿ ,ಒಂದು ಸುಗಂಧದ್ರವ್ಯ
ಕೆಳೆ ,"ಸ್ನೇಹ, ಗೆಳೆತನ; ಸೆಳೆ, ಆಕರ್ಷಿಸು"
ಕೆಳೆಗೊಳ್ ,"ಸ್ನೇಹಮಾಡು, ಜೊತೆಗೂಡು"
ಕೆಳೆತನ ,"ಗೆಳೆತನ, ಸ್ನೇಹ"
ಕೆಳೆಯ ,"ಸ್ನೇಹಿತ, ಜೊತೆಗಾರ"
ಕೆಳೆಸಂಕಲೆ ,ಇಬ್ಬರ ಕಯಗಳನ್ನು ಕೂಡಿಸಿ ಕಟ್ಟುವ ಸಂಕೋಲೆ
ಕೆೞಗಡೆ ,ತಳಭಾಗ
ಕೆೞಗಿವಿಗೆಯ್ ,"ಅಲಕ್ಷಿಸು, ಅನಾದರ ತೋರು"
ಕೆೞಗಿವಿಗೇಳ್ ,ಕೇಳಿದರೂ ಕೇಳದಂತಿರು
ಕೆೞಗು ,"ಕೆಳಗು, ಕೆಳಭಾಗ"
ಕೆೞಗೆ ,"ಕೆಳಗೆ, ಕೆಳಭಾಗದಲ್ಲಿ"
ಕೆೞದ ,"ಬಡವಾದವನು, ಅಗಲಿದವನು"
ಕೆೞವ ,ಮುದುಕ
ಕೆೞ್ಪು ,ಪದರ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)
ಕೆೞ್ಪು ,"ಕೆರ್ಪು, ಪಾದರಕ್ಷೆ (ಅರ್ಥಸಂದಿಗ್ಧತೆಯ ಶಬ್ದ)"
ಕೇ ,"ಮಲಗು, ಶಯನಗೈ; ರತಿಕ್ರೀಡೆ ಮಾಡು"
ಕೇಕರ ,"ಓರೆಗಣ್ಣು, ಮೆಳ್ಳೆಗಣ್ಣು"
ಕೇಕರದ್ಯುತಿ ,ಕಡೆಗಣ್ಣಿನ ಕಾಂತಿ
ಕೇಕರಮರೀಚಿ ,ಕೇಕರದ್ಯುತಿ
ಕೇಕರರುಚಿ ,ಕೇಕರದ್ಯುತಿ
ಕೇಕರಾಲೋ(ಳೋ)ಕ(ನ) ,"ಕಡೆಗಣ್ಣ ನೋಟ, ಕುಡಿನೋಟ"
ಕೇಂಕರಿಸು ,"ಕೆಕ್ಕರಿಸು, ಕೇಕರಿಸು, ಗುರುಗುಡು"
ಕೇಕರಿಸು ,ಓರೆಗಣ್ಣಿನಿಂದ ನೊಡು
ಕೇಕಱ ,ಹೆಗ್ಗಣ
ಕೇಕಿ ,ನವಿಲು
ಕೇಕಿತಾಂಡವ ,ನವಿಲ ನೃತ್ಯ
ಕೇಕಿನರ್ತನ ,ಕೇಕಿತಾಂಡವ
ಕೇಕಿವಿಲಾ(ಳಾ)ಸ ,ಕೇಕಿತಾಂಡವ
ಕೇಗು ,ನವಿಲಿನಂತೆ ಧ್ವನಿಮಾಡು; ನವಿಲ ಕೂಗು
ಕೇಡಾಕುಳಿ ,ನೀರಾಟವಾಡಲು ಮಾಡಿದ ಗುಂಡಿ
ಕೇಡಾಳಿ ,ಕೇಡಿಗ
ಕೇಡು ,ಅಪಾಯ; ಹಾನಿ; ಚೆಲ್ಲುವಿಕೆ
ಕೇಡೆಯ್ದಿಸು ,ಕೆಡನ್ನುಂಟುಮಾಡು
ಕೇಣ ,"ಮತ್ಸರ, ದ್ವೇಷ, ರೋಷ"
ಕೇಣಕಾಱ ,ಜಿಪುಣ
ಕೇಣಂಬಡೆ ,ಮತ್ಸರಿಸು; ಸ್ಪರ್ಧಿಸು
ಕೇಣಿ ,"ಕೇೞಿ, ಸಾಲು; (ಗೇಣಿ) ಗುತ್ತಿಗೆ"
ಕೇಣಿಕ ,"ಗಿರವಿ, ನ್ಯಾಸ"
ಕೇಣಿಗೊಡು ,ಗೇಣಿಗೆ ಕೊಡು
ಕೇಣಿಗೊಳ್ ,ಗುತ್ತಿಗೆಗೆ ತೆಗೆದುಕೊ; ಸಾಲುಗಟ್ಟು
ಕೇತ ,"ಕರೆ, ಆಹ್ವಾನ; ಸ್ತಲ; ಒಂದು ಕ್ಷುದ್ರ ದೇವತೆ"
ಕೇತಕಿ ,ಕೇದಗೆ ಹೂ
ಕೇತನ ,ಧ್ವಜ; ಮನೆ
ಕೇತನಮಾಲಿ(ಳಿ)ಕೆ ,ಧ್ವಜಗಳ ಸಾಲು
ಕೇತು ,ಧೂಮಕೇತು; ಬೆಳಕಿನ ಕಾಂತಿ; ನವಗ್ರಹಗಳಲ್ಲಿ ಒಂದು; ಮುಂದಾಳು; ರಕ್ಕಸ ಬಾಳೆ
ಕೇತುದಂಡ ,ಧ್ವಜಸ್ತಂಭ
ಕೇತುಪಟ ,"ಬಾವುಟ, ಧ್ವಜ"
ಕೇತುಹಸ್ತ ,ಕೇತುದಂಡ
ಕೇದಗೆ ,ಕೇತಕಿ
ಕೇದರ ,ಗದ್ದೆ; ಉಪವನ
ಕೇದಾರವನ ,ಬತ್ತದ ಗದ್ದೆ
ಕೇಂದ್ರಸ್ಥ ,ಕೇಂದ್ರದಲ್ಲಿರುವವನು
ಕೇನ ,ಏತರಿಂದ
ಕೇಯೂರ ,"ಕಡಗ, ತೋಳುಬಂದಿ"
ಕೇರಳಿ ,ಕೇರಳದ ಹೆಂಗಸು
ಕೇರೆ ,ಒಂದು ಜಾತಿಯ ಹಾವು
ಕೇರ್ ,ಗೋಡೆ; ಗೇರು ಮರ
ಕೇರ್ಗಟ್ಟು ,ಗೋಡೆಯನ್ನು ಕಟ್ಟು; ತಡಿಕೆ
ಕೇಱು ,"ಕಾಳುಕಸಗಳನ್ನು ಬೇರ್ಪಡಿಸು, ಶೂರ್ಪಕರಣ"
ಕೇಲಿ(ಳಿ) ,ಆಟ; ಶೃಂಗಾರಕ್ರೀಡೆ
ಕೇಲಿಗೃಹ ,ಆಟದ ಮನೆ
ಕೇಲೀನಿಲಯ ,ಕೇಲಿಗೃಹ
ಕೇಲ್ ,ಮಣ್ಣಿನ ಹರವಿ
ಕೇವಜ್ಞಾನಾವರಣೀಯ ,(ಜೈನ) ಕೇವಲಜ್ಞಾನವನ್ನು ಆವರಿಸುವ ಕರ್ಮ
ಕೇವಣ ,(ಕ್ಷೇಪಣ) ಕುಂದಣಗೆಲಸ; ನೂಕುವುದು
ಕೇವಣಿಸು ,ಲೇಪಿಸು; ಜೋಡಿಸು; ಧರಿಸು
ಕೇವಲ(ಳ) ,ಸಮಗ್ರ; (ಜೈನ) ಜ್ಞಾನದ ಐದು ಪ್ರಕಾರಗಳಲ್ಲಿ ಒಂದು
ಕೇವಲಜ್ಞಾನ ,ಸರ್ವಜ್ಞತ್ವ
ಕೇವಲಜ್ಞಾನಿ ,ಕೇವಲಜ್ಞಾನವನ್ನು ಪಡೆದವನು
ಕೇವಲದರ್ಶನ ,(ಜೈನ) ದರ್ಶನದ ನಾಲ್ಕು ಪ್ರಕಾರಗಳಲ್ಲಿ ಒಂದು
ಕೇವಲದರ್ಶನಾವರಣೀಯ ,(ಜೈನ) ಕೇವಲದರ್ಶನಕ್ಕೆ ಆವರಣವನ್ನುಂಟುಮಾಡುವ ಕರ್ಮ
ಕೇವಲಪುಣ್ಯಾನ್ವಿತ ,ಸಂಪೂರ್ಣ ಪುಣ್ಯವಂತ
ಕೇವಲಬೋಧ ,ಕೇವಲಜ್ಞಾನ
ಕೇವಲಲಬ್ಧಿ ,(ಜೈನ) ಪಂಚ ಪರಮೇಷ್ಠಿಗಳ ಒಂಬತ್ತು ಲಬ್ಧಿಗಳಲ್ಲಿ ಒಂದು
ಕೇವಲಲೋಚನ ,ಕೇವಲ ದರ್ಶನ
ಕೇವಲವಿಭೂತಿ ,ಕೇವಲಜ್ಞಾನ
ಕೇವಲಾಗಮ ,ಕೇವಲಜ್ಞಾನ
ಕೇವಲಿ(ಳಿ) ,ಕೇವಲಜ್ಞಾನಿ
ಕೇವಲಿ(ಳಿ)ಪೂಜೆ ,ಕೇವಲಜ್ಞಾನವನ್ನು ಪಡೆದವನ ಪೂಜೆ
ಕೇಶಪಾಶ ,ಸಮೃದ್ಧ ತಲೆಗೂದಲು
ಕೇಶಪ್ರತಿಲಿಂಗ ,(ಜೈನ) ಮುನಿಗಳ ಯೋಗಸಾಧನೆಯ ಒಂದು ಬಗೆ; ಸನ್ಮಾರ್ಗ ಸಾಧನ
ಕೇಶಬಂಧ(ನ) ,ತಲೆಗೂದಲ ಕಟ್ಟುವಿಕೆ; ಮುಡಿ
ಕೇಶವ ,ವಿಷ್ಣು
ಕೇಶವಪನ ,ಚೌಲಕ್ರಿಯೆ
ಕೇಶಹಸ್ತ ,ಕೇಶಪಾಶ
ಕೇಶಾವಪಾಟವ ,(ಜೈನ) ಐವತ್ತಮೂರು ಗರ್ಭಾನ್ವಯ ಕ್ರಿಯೆಗಳಲ್ಲಿ ಒಂದು
ಕೇಶಾವಾಪ ,ಕೇಶಾವಪಾಟವ
ಕೇಶಿ ,ಕೃಷ್ಣನಿಂದ ಕೊಲ್ಲಲ್ಪಟ್ಟ ಒಬ್ಬ ರಾಕ್ಷಸ
ಕೇಶೋತ್ಪಾಟನ ,ಕೇಶಾವಪಾಟವ
ಕೇಸ ,(ಕೇಶ) ತಲೆಗೂದಲು
ಕೇಸಕ್ಕಿ ,ಕೆಂಪು ಅಕ್ಕಿ
ಕೇಸಡಗು ,ಕೆಂಪು ಮಾಂಸ
ಕೇಸಡಿ ,ಕೆಂಪಾದ ಅಡಿ
ಕೇಸಡಿಯ ,ಕೆಂಪಾದ ಅಡಿಗಳುಳ್ಳವನು
ಕೇಸಡಿವೆಳಗು ,ಕೆಂಪು ಪಾದಗಳ ಕಾಂತಿ
ಕೇಸರ ,"ಕೋಳಿ, ಕುದುರೆ ಅಥವಾ ಸಿಂಹದ ಕುತ್ತಿಗೆಯ ಕೂದಲು"
ಕೇಸರದ್ರುಮ ,ಬಕುಳದ ಮರ
ಕೇಸರದ್ವಿಷಾರಿ ,"ಶರಭದ ಶತ್ರು, ಭೇರುಂಡ"
ಕೇಸರಫಲ ,ಬಕುಳದ ಹಣ್ಣು
ಕೇಸರರಜ ,"ಹೂವನ ಬಂಡು, ಪರಾಗ"
ಕೇಸರಿ ,"ಕೇಸರವನ್ನುಳ್ಳುದು, ಸಿಂಹ"
ಕೇಸರಿಕಿಶೋರ ,ಸಿಂಹದ ಮರಿ
ಕೇಸರಿಕೇತನ ,ಸಿಂಹದ ಚಿಹ್ನೆಯ ಧ್ವಜ; ಭೀಮ
ಕೇಸರಿಣಿ ,ಹೆಣ್ಣು ಸಿಂಹ
ಕೇಸರಿದ್ವಿಷ ,"ಸಿಂಹದ ಶತ್ರು, ಶರಭ"
ಕೇಸರಿಪೀಠ ,ಸಿಂಹಾಸನ
ಕೇಸರಿಸು ,ಕೆಂಪಗೆ ಮಾಡು
ಕೇಸುರಿ ,ಕೆಂಪಾದ ಉರಿ
ಕೇಸೊಡಲ ,ಕೆಂಪು ದೇಹವುಳ್ಳವನು; ಮಂಗಳಗ್ರಹ
ಕೇಳ ,"ಸಂಗಡಿಗ, ಸ್ನೇಹಿತ; ನರ್ತಕ"
ಕೇಳಿ ,ಆಟ; ವಿನೋದ
