#jānapada vastukośa, a dictionary of objects used in rural Karnataka. Data as scraped from Bharatavani.in

ತೂಗುದೀಪ,"ದೇವರ ಕೋಣೆ, ದೇವಾಲಯ, ದೈವಾಲಯಗಳಲ್ಲಿ ಸರ್ವ ಸಾಮಾನ್ಯವಾಗಿ ಇರುವ ದೀಪವಿಡುವ ಸಾಧನ. ಇದರಲ್ಲಿ ಮುಖ್ಯವಾಗಿ ಎರಡು ಭಾಗಗಳಿವೆ – ಸಂಕಲೆ ಮತ್ತು ದೀಪ ಎಂದು. ಸಂಕಲೆಯನ್ನು ಕೊಂಡಿಗೆ ಜೋತು ಹಾಕಲಾಗುತ್ತದೆ. ಸಂಕಲೆಯ ಬುಡವು ದೀಪದೊಂದಿಗೆ ಬಂಧಿತವಾಗಿರುತ್ತದೆ. ದೀಪವೂ ವೃತ್ತಾಕಾರದಲ್ಲಿದ್ದು ಸುಮಾರು ಆರು ಇಂಚು ವ್ಯಾಸವಿದೆ (ಗಾತ್ರದಲ್ಲಿ ಸಾಕಷ್ಟು ವ್ಯತ್ಯಾಸಗಳಿವೆ). ದೀಪದಲ್ಲಿ ಐದು ಸಮಾನ ಅಂತರಗಳಲ್ಲಿ ಬತ್ತಿಗಳನ್ನು ಇಟ್ಟುಕೊಳ್ಳಲು ರಚನೆಗಳಿವೆ. ಇಂಥ ದೀಪಗಳನ್ನು ಹಚ್ಚುವಾಗ ಪೂರ್ವಾಭಿಮುಖವಾಗಿರುವ ಬತ್ತಿಗಳನ್ನು ಮೊದಲು ಉರಿಸಿ ಬಳಿಕ ಪ್ರದಕ್ಷಿಣಾ ರೂಪದಲ್ಲಿ ಹಚ್ಚುವುದು ಸಂಪ್ರದಾಯ. ತೂಗು ದೀಪಗಳನ್ನು ಕಂಚು, ಹಿತ್ತಾಳೆ, ಬೆಳ್ಳಿ ಮುಂತಾದ ಲೋಹಗಳಿಂದ ತಯಾರಿಸುತ್ತಾರೆ."
ತೆಪ್ಪ/ಹರಿಗೋಲು,ನದಿ ಹಾಗೂ ಕೆರೆಗಳಲ್ಲಿ ಮೀನುಗಾರಿಕೆ ಮತ್ತು ನದಿ ದಾಟಲು ಬಳಸುವ ಸಾಧನ. ಸಣ್ಣ ತೆಪ್ಪವು ತಟ್ಟೆಯ ಆಕಾರದಲ್ಲಿ ಸುಮಾರು ಒಂದರಿಂದ ಒಂದೂವರೆ ಅಡಿ ಎತ್ತರವಿರುತ್ತದೆ. ಮೇಲ್ಭಾಗದ ವ್ಯಾಸ ಆರು ಅಡಿ ಇದ್ದು ತಳಭಾಗ ಚಪ್ಪಟೆಯಾಗಿದೆ. ಬಿದಿರು ಅಥವಾ ತಟಿಕೆಯ ಸೀಳುಗಳಿಂದ ಹೆಣೆದು ಅದರ ಹೊರ ಮೈಮೇಲೆ ಪ್ಲಾಸ್ಟಿಕ್ ಚೀಲವನ್ನು ಹೊದಿಸಿ ಚೀಲದ ಮೇಲ್ಭಾಗದಲ್ಲಿ ಡಾಂಬರ್ ಹಾಕಿದ್ದಾರೆ ನೀರು ಒಳಹೋಗದಂತೆ ತಡಯುವುದು ಇದರ ಮುಖ್ಯ ಉದ್ದೇಶ. ಜೋರಾಗಿ ಗಾಳಿ ಬೀಸದ ಎಲ್ಲಾ ನೀರಿನ ತಾಣಗಲ್ಲಿ ಇದು ಸಾಮಾನ್ಯವಾಗಿ ಬಳಕೆಯಾಗುತ್ತದೆ.
ತೊಟ್ಟಿಲು,"ಮಕ್ಕಳನ್ನು ತೂಗಿ ಮಲಗಿಸಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ಎತ್ತರ, ಮೂರು ಅಡಿ ಉದ್ದ, ಒಂದೂವರೆ ಅಡಿ ಅಳತೆಯುಳ್ಳದ್ದಾಗಿರುತ್ತದೆ. ಇದರ ಒಳಭಾಗದಲ್ಲಿ ಹಲಗೆಗಳನ್ನು ಜೋಡಿಸಲು ಎರಡು ಪಟ್ಟಿಗಳಿರುತ್ತವೆ. ಹಲಗೆಗಳನ್ನು ಜೋಡಿಸಲು ಕ್ರಮವಾಗಿ ನಾಲ್ಕು ಕಂಬಗಳಿದ್ದು, ಕೆಲವು ತೊಟ್ಟಿಲುಗಳಲ್ಲಿ ಇದರ ಮೇಲೆ ಬುಗುರಿಯಾಕಾರದ ಮಣಿಗಳಿರುತ್ತವೆ. ಮಕ್ಕಳ ನಾಮಕರಣದ ಬಳಿಕ ಸಾಮಾನ್ಯವಾಗಿ ತೊಟ್ಟಲಿನ ಬಳಕೆಯಾಗುತ್ತದೆ. ಆರ್ಥಿಕತೆಗನುಗುಣವಾಗಿ ತೊಟ್ಟಿಲನ್ನು ಬಳಕೆಮಾಡುತ್ತಾರೆ. ತೊಟ್ಟಿಲನ್ನು ಸಾಮಾನ್ಯವಾಗಿ ತೇಗ, ಹಲಸು ಮುಂತಾದ ಮರದಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ತೊಟ್ಟಿಲುಗಳನ್ನು ಕಲಾತ್ಮಕವಾಗಿ ರಚಿಸುತ್ತಾರೆ. ಲೋಹಗಳಿಂದಲೂ ತೊಟ್ಟಿಲುಗಳನ್ನು ನಿರ್ಮಿಸುತ್ತಾರೆ."
ತೊರಳಿ ಕಲ್ಲು/ತೊಳಲಿಕಲ್ಲು,"ಭತ್ತವನ್ನು ಅಕ್ಕಿ ಮಾಡಿಕೊಳ್ಳಲು ಬಳಸುವ ಒಂದು ವಿಧದ ಬೀಸುವಕಲ್ಲು. ಇದರಲ್ಲೂ ಬೀಸುಕಲ್ಲಿನ ಹಾಗೆಯೇ ಎರಡು ಮುಖ್ಯ ಭಾಗಗಳಿವೆ-ಅಡಿಗಲ್ಲು ಮತ್ತು ತಿರುಗಲ್ಲು. ಅಡಿಗಲ್ಲಿನ ಮೇಲ್ಭಾಗ ಮತ್ತು ತಿರುಗಲ್ಲಿನ ಕೆಳಭಾಗದಲ್ಲಿ ಭತ್ತವು ಸಾಧಾರಣವಾಗಿ ಅಡಗಬಲ್ಲಷ್ಟು ಗಾತ್ರದ ಅನೇಕ ಗೆರೆಗಳನ್ನು ಕೊರೆಯಲಾಗಿರುತ್ತದೆ. ಆದರೆ ಅವು ಭತ್ತವನ್ನು ಹಿಡಿದಿಡದೆ ಜಾರುವುದಕ್ಕೆ ಅನುಕೂಲವಾಗುವಂತೆ ವಿನ್ಯಾಸಗೊಂಡಿರುತ್ತವೆ. ಈ ತಂತ್ರಜ್ಞಾನದಿಂದ ಈ ಬೀಸುಗಲ್ಲನ್ನು ತಿರುಗಿಸಿದಾಗ ಭತ್ತದ ಹೊಟ್ಟಷ್ಟೆ ಕಳಚಿಕೊಂಡು ಅಕ್ಕಿಯು ಸಿದ್ಧವಾಗುತ್ತದೆ ಮಾತ್ರವಲ, ಅಕ್ಕಿಯು ತುಂಡಾಗುವುದು ಕಡಿಮೆ. ತಿರುಗಲ್ಲಿನ ಇನ್ನೊಂದು ವೈಶಿಷ್ಟವೆಂದರೆ ಅದರ ರಂಧ್ರವು ತುಂಬ ದೊಡ್ಡದಾಗಿದ್ದು ಹೆಚ್ಚು ಪ್ರಮಾಣದ ಭತ್ತವನ್ನು ಸುರಿಯಲು ಅನುಕೂಲವಾಗುವಂತಿರುತ್ತದೆ. ತೊರಳಿ ಕಲ್ಲುಗಳು ಉಳಿದ ಬೀಸುಕಲ್ಲುಗಳಿಗಿಂತ ಗಾತ್ರದಲ್ಲಿ ದೊಡ್ಡದಿರುತ್ತವೆ ಹಾಗೂ ಇವುಗಳ ಗಾತ್ರದಲ್ಲಿ ವ್ಯತ್ಯಾಸಗಳಿವೆ. ಇದನ್ನು ಸಾಮಾನ್ಯವಾಗಿ ಇಬ್ಬರು ಸೇರಿಕೊಂಡು ಬೀಸುತ್ತಾರೆ. ಇದನ್ನು ಮರದಿಂದಲೂ, ಕಲ್ಲಿನಿಂದಲೂ ತಯಾರಿಸುತ್ತಾರೆ. ಕರ್ನಾಟಕದ ಗದಗ, ಧಾರವಾಡ, ಹಾವೇರಿ ಮುಂತಾದ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಇದನ್ನು ಹೆಚ್ಚಾಗಿ ಬಳಸುತ್ತಾರೆ. ರೈಸ್ ಮಿಲ್ಲುಗಳು ಮತ್ತು ಗಿರಣಿಗಳು ಬಂದ ಬಳಿಕ ತೊರಳಿ ಕಲ್ಲುಗಳು ನಿಧಾನವಾಗಿ ಕಣ್ಮರೆಯಾಗುತ್ತಿವೆ."
ದಂಡ/ಯೋಗದಂಡ,"ಋಷಿಮುನಿಗಳು ಮತ್ತು ಜಂಗಮರು ಧ್ಯಾನಮಾಡುವಾಗ ಬಳಸುವ ಸಾಧನ. ಇದು ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ಉದ್ದವಿದ್ದು, ಸುಮಾರು ಹತ್ತು ಇಂಚು ಅಗಲವಿರುವ ದೋಣಿಯಾಕಾರದ ಮೇಲ್ತುದಿಯನ್ನು ಹೊಂದಿದೆ. ಇದರ ಮೇಲೆ ಎಡತೋಳನ್ನು ಇಟ್ಟುಕೊಂಡು ಧ್ಯಾನ ಮಾಡುತ್ತಿದ್ದರು. ಜಂಗಮರು ಕೂಡ ದಂಡವನ್ನು ಕೈಯಲ್ಲಿ ಹಿಡಿದುಕೊಂಡು ಸಂಚಾರ ಮಾಡುತ್ತಿದ್ದರು. ದಂಡಕ್ಕೆ ಜನಪದರು ಬಹಳ ಭಕ್ತಿಭಾವದಿಂದ ನಮಸ್ಕರಿಸುತ್ತಾರೆ. ಋಷಿಮುನಿಗಳಿಗೆ ಮತ್ತು ಜಂಗಮರಿಗೆ ಎಷ್ಟು ಬೆಲೆ ಇದೆಯೋ ಅಷ್ಟೇ ಬೆಲೆ ಈ ದಂಡಕ್ಕೂ ಕೊಡುತ್ತಾರೆ. ದಂಡವನ್ನು ಸಾಗುವಾನಿ, ಮತ್ತಿ ಮುಂತಾದ ಮರಗಳಿಂದ ತಯಾರಿಸುತ್ತಾರೆ."
ದಂಡಿಗೆ/ತಕ್ಕಡಿ,"ತೂಕಮಾಡಲು ಕಬ್ಬಿಣದ ಮಾಪಕಗಳು ಬರುವ ಮುನ್ನ ಹಳ್ಳಿಗಳಲ್ಲಿ ಬೆಳೆದ ಬೆಳೆಗಳನ್ನು ಮತ್ತು ಇತರ ವಸ್ತುಗಳನ್ನು ತೂಕ ಮಾಡುವುದಕ್ಕೆ ಬಳಸುತ್ತಿದ್ದ ಸಾಧನ. ಇದರಲ್ಲಿ ದಿಂಡು, ಪಲ್ಟಿ ಎಂಬ ಭಾಗಗಳಿವೆ. ದಿಂಡನ್ನು ಸು. ನಾಲ್ಕರಿಂದ ಐದು ಅಡಿಗಳಷ್ಟು ಉದ್ದದ ಬಲವಾದ ಮರದ ದಂಡವೊಂದರಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಎರಡು ತುದಿಗಳಲ್ಲಿ ಕೊರೆದ ರಂಧ್ರಗಳ ಮೂಲಕ ನೂಲು/ಹಗ್ಗದಿಂದ ಜೋತಾಡಿಸಲಾಗುವ ತಟ್ಟೆಯಾಕಾರದ ಪಲ್ಟಿಗಳಿರುತ್ತವೆ. ಇವು ಮಧ್ಯದಲ್ಲಿ ಒಂದೆರಡಿಂಚು ತಗ್ಗಾಗಿ ವೃತ್ತಾಕಾರದ ರಚನೆಗಳು. ಇವನ್ನು ಬಿದಿರಿನ ಸೀಳುಗಳಿಂದ ಹೆಣೆದು ಅದರ ರಂಧ್ರಗಳು ಮುಚ್ಚುಹೋಗುವಂತೆ ಗೇರಣ್ಣೆ, ಸುಟ್ಟಬಟ್ಟೆಯ ಬೂದಿಯನ್ನು ಚೆನ್ನಾಗಿ ಮಿಶ್ರಮಾಡಿಕೊಂಡು ಲೇಪಿಸುತ್ತಾರೆ. ಪಲ್ಟಿಗಳ ವ್ಯಾಸವು ಸುಮಾರು ಹನ್ನೆರಡರಿಂದ ಇಪ್ಪತ್ತು ಇಂಚು ಇರುತ್ತವೆ. ದಂಡಿಗೆಯಲ್ಲಿ ಗಾತ್ರ, ವಿನ್ಯಾಸಗಳಲ್ಲಿ ಸಾಕಷ್ಟು ವ್ಯತ್ಯಾಸಗಳಿವೆ."
ದಿಕಾಂಬ್ಲಿ ಬೀಜ,"ಎತ್ತು ಮತ್ತು ಎಮ್ಮೆಗಳಿಗೆ ದೃಷ್ಟಿಯಾಗದಂತೆ ಕೊರಳಿಗೆ ಕಟ್ಟುವ ಒಂದು ಸಾಧನ. ದಿಕಾಂಬ್ಲಿ ಎನ್ನುವುದು ಲಂಬಾಣಿಗರ ಭಾಷೆ. ಇದು ಸು. ಎರಡು ಇಂಚು ವ್ಯಾಸವಿರುವ ಬೀಜ. ಕಂದು ಬಣ್ಣದ್ದಾಗಿದ್ದು ನಯವಾಗಿ ಚಪ್ಪಟೆಯಾಗಿದೆ. ಸಾಮಾನ್ಯವಾಗಿ ಆಕಳು ಮತ್ತು ಎಮ್ಮೆಗಳು ಗರ್ಭಧರಿಸಿದಾಗ ಪೀಡೆ, ಪಿಶಾಚಿಗಳ ಕೆಟ್ಟ ದೃಷ್ಟಿ ಬೀಳಬಾರದೆಂಬ ಕಾರಣಕ್ಕೆ ಜಾನುವಾರುಗಳ ಕೊರಳಿಗೆ ಕಟ್ಟುತ್ತಾರೆ. ಇದರಿಂದ ಪೀಡೆ ಪಿಶಾಚಿಗಳ ಕಾಟ ಬರುವುದಿಲ್ಲ ಎನ್ನುವುದು ಲಂಬಾಣಿಗರ ನಂಬಿಕೆ."
ದಿನಸಿ ಬಟ್ಟಲು,"ಅಡುಗೆ ಮನೆಯಲ್ಲಿ ಸಂಬಾರ ಪದಾರ್ಥಗಳನ್ನು ಇಟ್ಟುಕೊಳ್ಳಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಸುಮಾರು ೨೦ ಇಂಚು ವ್ಯಾಸವನ್ನು ಹೊಂದಿರುತ್ತದೆ. ಇದರಲ್ಲಿ ಸುಮಾರು ಐದು ಇಂಚು ವ್ಯಾಸದ ಐದು ಗುಳಿಗಳಿವೆ. ದಿನಸಿಬಟ್ಟಲು ದುಂಡಾಗಿದ್ದು, ಹಿಡಿದುಕೊಳ್ಳಲು ಹಿಡಿಕೆ ಇರುತ್ತದೆ. ಸಾಗುವಾನಿ, ಬೇವು ಮುಂತಾದ ಮರಗಳಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಈ ಸಾಧನದಲ್ಲಿ ಸಂಬಾರ ಪದಾರ್ಥಗಳನ್ನು ಇಡುವುದರಿಂದ ಅವು ಬಹಳ ದೀರ್ಘಕಾಲ ಬಾಳಿಕೆ ಬರುತ್ತವೆ ಎನ್ನುವುದು ಬಳಕೆದಾರರ ಅನುಭವ. ಪ್ಲಾಸ್ಟಿಕ್, ಸ್ಟೀಲ್, ಸಿಲ್ವರ್, ತಾಮ್ರ, ಕಂಚಿನ ಬಟ್ಟಲು ಬಂದಮೇಲೆ ಈ ವಸ್ತುವಿನ ಬಳಕೆ ಕಡಿಮೆಯಾಗಿದೆ."
ದೀಪದ ಗೊಗ್ಗೆ,ಸೀಮೆಎಣ್ಣೆಬುಡ್ಡಿ/ ದೀಪವನ್ನು ಇರಿಸಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಇಂಗ್ಲಿಷನ ಐ ಅಕಾರದಲ್ಲಿದೆ. ತಮ್ಮ ಅನುಕೂಲಕ್ಕೆ ತಕ್ಕ ಎತ್ತರದಲ್ಲಿ ಗೊಗ್ಗೆಯನ್ನು ಗೋಡೆಗೆ ನೇತುಹಾಕಿ ಗೊಗ್ಗೆಯ ಕೆಳಭಾಗದಲ್ಲಿರುವ ಅಡ್ಡಪಟ್ಟಿಯ ಮೇಲ್ಭಾಗದಲ್ಲಿ ದೀಪವನ್ನು ಇರಿಸಲಾಗುತ್ತದೆ. ವಿದ್ಯುತ್ ದೀಪಗಳು ಹಾಗೂ ಕ್ಯಾಂಡ್‌ಲ್‌ಗಳ ಬಳಕೆ ಬಂದ ನಂತರ ಇದರ ಬಳಕೆ ಕಡಿಮೆಯಾಗಿದೆ.
ದೂಡುಬಂಡಿ,"ಸುಮಾರು ಒಂದು ವರ್ಷದ ಆಸುಪಾಸಿನ ಮಕ್ಕಳು ನಡಿಗೆಯನ್ನು ಕಲಿಯುವ ಹಂತದಲ್ಲಿ ನಡೆಯಲು ಆಸರೆಯಾಗಿ ಇದನ್ನು ಬಳಸುತ್ತಾರೆ. ಈ ಬಂಡಿಯಲ್ಲಿ ಐದು ಪಟ್ಟಿಗಳು ಮೂರು ಚಕ್ರಗಳು ಇವೆ. ಮೇಲ್ಭಾಗದಲ್ಲಿ ಎರಡು ಕಡೆ ಹಿಡಿಕೆ ಇದೆ. ಒಂದೂವರೆ ಅಡಿ ಉದ್ದದ ಪಟ್ಟಿಗಳು ಒಂದೂವರೆ ಅಡಿ ಉದ್ದದ ಹಿಡಿಕೆ ಸಮೇತ ಪಟ್ಟಿ, ಮೂರು ಇಂಚು ವ್ಯಾಸ ಇರುವ ಮೂರು ಚಕ್ರಗಳನ್ನು ಒಳಗೊಂಡಿರುತ್ತದೆ. ಮಕ್ಕಳು ಈ ಬಂಡಿಯನ್ನು ಹಿಡಿದುಕೊಂಡು ಸರಾಗವಾಗಿ ನಡೆಯುವುದನ್ನು ಕಲಿಯುತ್ತಾರೆ. ಪ್ಲಾಸ್ಟಿಕ್ ಬಂಡಿ ಬಳಕೆಗೆ ಬಂದ ನಂತರ ಈ ಬಂಡಿಗಳ ಬಳಕೆ ಕಡಿಮೆಯಾಗಿದೆ."
ದೃಷ್ಟಿಗೊಂಬೆ,ಹೊಸ ಮನೆಗೆ ದೃಷ್ಟಿತಾಗದಂತೆ ಹಾಗೂ ಅಲಂಕಾರಕ್ಕಾಗಿ ಬಳಸುವಂತಹ ಬಿದಿರಿನ ವಸ್ತು. ಇದು ಸುಮಾರು ಮುಕ್ಕಾಲು ಅಡಿ ಉದ್ದವಿರುತ್ತದೆ. ಇದರ ಮೈಮೇಲೆಲ್ಲಾ ಚಿಕ್ಕ ಚಿಕ್ಕ ಚುಕ್ಕೆಗಳ ಆಕಾರದಿಂದ ಕೂಡಿದ್ದು (ಇವು ಬೇರುಗಳನ್ನು ಕತ್ತಿರಿಸಿದ ಬುಡ)ಬಿದಿರಿನ ಗಡ್ಡೆಯಿಂದ ನಿರ್ಮಿತವಾಗಿದೆ. ಇದನ್ನು ಮನೆಯ ಮುಂಭಾಗದಲ್ಲಿ ಜೋತಾಡಿಸಿ ಕಣ್ಣಿಗೆ ಕಾಣುವಂತೆ ಕಟ್ಟಿರುತ್ತಾರೆ. ಕಟ್ಟಿರುವ ಮನೆಗೆ ದೃಷ್ಟಿ ತಗಲಬಾರದು ಎಂಬ ನಂಬಿಕೆಯಿಂದ ಇದನ್ನು ಕಟ್ಟುತ್ತಾರೆ. ಅಲ್ಲದೆ ರಾತ್ರಿ ಸಂದರ್ಭದಲ್ಲಿ ಪ್ರಾಣಿ ಪಕ್ಷಿಗಳು ಮನೆಯೊಳಗೆ ನುಸುಳಬಾರದು ಎನ್ನುವ ಕಾರಣಕ್ಕೂ ಈ ಗೊಂಬೆಯನ್ನು ಕಟ್ಟುತ್ತಾರೆ.
ದೇವರ ಚೌಕಿ,"ದೇವರ ಕೋಣೆಯಲ್ಲಿ ದೇವರ ಮೂರ್ತಿಯನ್ನು ಕೂರಿಸಲು ಬಳಸುವ ಪೀಠ. ಪೀಠದ ಗಾತ್ರ ಮತ್ತು ವಿನ್ಯಾಸದಲ್ಲಿ ಹಲವು ವ್ಯತ್ಯಾಸಗಳಿರುತ್ತವೆ. ಸಾಮಾನ್ಯವಾಗಿ ಇದರ ಮುಂಭಾಗದ ಎತ್ತರ ಏಳೂವರೆ ಇಂಚು, ಹಿಂಭಾಗದ ಎತ್ತರ ಒಂಭತ್ತು ಇಂಚು, ಉದ್ದ ಏಳು ಇಂಚು, ಅಗಲ ಹತ್ತೂವರೆ ಇಂಚು. ನಾಲ್ಕು ಕಾಲುಗಳಿದ್ದು ಅವುಗಳಿಗೆ ಮರದ ಹಲಗೆ ಜೋಡಿಸಲಾಗಿದೆ. ಹಿಂಭಾಗದ ಪಟ್ಟಿಗೂ ಸಹ ಹಲಗೆ ಜೋಡಿಸಲಾಗಿದೆ. ಮನೆಯ ಪಡಸಾಲೆ, ಕಟ್ಟೆ ಹಾಗೂ ಅಂಗಳದಲ್ಲಿ ಆಚರಿಸುವ ದೈವಿಕ ಆಚರಣೆಗಳಲ್ಲಿ ಹೆಚ್ಚಾಗಿ ಬಳಕೆಯಾಗುತ್ತವೆ."
ದೇವರ ಪೀಠ,ದೇವತಾ ಮೂರ್ತಿಗಳನ್ನು ಇರಿಸಿ ಪೂಜಿಸಿಕೊಳ್ಳಲು ಬಳಸುವ ಪೀಠ. ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ಉದ್ದಗಲಗಳ ಚೌಕಾಕಾರದಲ್ಲಿದೆ. ಕಡೆದ ನಾಲ್ಕು ಕಾಲುಗಳು ಸುಮಾರು ಐದು ಇಂಚು ಎತ್ತರ ಇವೆ. ಅವುಗಳ ಮೇಲ್ತುದಿ ಎಂಬಂತೆ ನಾಲ್ಕು ಕಡೆಗೂ ಗುಮ್ಮಟಾಕಾರವಿದೆ. ಚೌಕದ ಮಧ್ಯೆ ಹಲಗೆಗಳನ್ನು ಜೋಡಿಸಿದೆ. ಅಲ್ಲಿ ನಾಗಬಂಧದಂತೆ ಕಾಣುವ ಮತ್ತು ಬಳ್ಳಿಗಳು ಹೆಣೆದಂತಿರುವ ಹಾಗೂ ಮಧ್ಯದಲ್ಲಿ ದೊಡ್ಡ ಹೂವೊಂದರ ಚಿತ್ತಾರ ಬಿಡಿಸಿದೆ. ಈ ಪೀಠವು ತುಂಬ ಭಾರವಿದ್ದು ಚೌಕದ ಸುತ್ತುಪಟ್ಟಿಯಲ್ಲಿ ಕೂಡ ಅಲಂಕಾರಕ್ಕಾಗಿ ಸಣ್ಣ ಪ್ರಮಾಣದ ಕೆತ್ತನೆ ಮಾಡಿದೆ. ಒಟ್ಟು ರಚನೆಯಲ್ಲಿ ಎಲ್ಲೂ ಕಬ್ಬಿಣವನ್ನು ಬಳಸಿಕೊಂಡಿಲ್ಲ.
ದೊಣ್ಯೆಪ್ಪ,ಕಣದಲ್ಲಿ ಧಾನ್ಯಗಳನ್ನು ಒಕ್ಕಣೆಮಾಡಿದ ಸಂದರ್ಭದಲ್ಲಿ ರಾಶಿಯ ಮುಂಭಾಗದಲ್ಲಿ ಇದನ್ನು ಇಟ್ಟು ಪೂಜೆಮಾಡುತ್ತಾರೆ. ಮನೆಯ ಚಿಕ್ಕಮಕ್ಕಳು ಕಿರಿಕಿರಿಮಾಡಿದಾಗ ದೊಣ್ಯೆಪ್ಪನನ್ನು ಜಗಲಿಯಲ್ಲಿಟ್ಟು ಪೂಜೆಮಾಡಿದರೆ ಮಕ್ಕಳ ಕಿರಿಕಿರಿ ಕಡಿಮೆಯಾಗುತ್ತದೆ ಎಂಬ ನಂಬುಗೆ ಜನಪದರಲ್ಲಿದೆ. ಇದು ಸುಮಾರು ಮೂರು ಅಡಿ ಎತ್ತರವಿದ್ದು ತಳದಲ್ಲಿ ಸುಮಾರು ಒಂಬತ್ತು ಇಂಚು ಮತ್ತು ತುದಿಯಲ್ಲಿ ಸುಮಾರು ನಾಲ್ಕು ಇಂಚು ಸುತ್ತಳತೆ ಇದೆ.
ದೋಸೆ ಮುಚ್ಚಳ,"ಹೆಂಚಿನ ಮೇಲೆ ದೋಸೆ ಬೇಯಿಸುವಾಗ ಹೆಂಚನ್ನು ಮೇಲಿನಿಂದ ಮುಚ್ಚಲು ಬಳಸುವ ವಸ್ತು. ಇದನ್ನು ಮುಚ್ಚುವುದರಿಂದ ದೋಸೆಯು ಹೆಂಚಿನಲ್ಲಿ ಬೇಗ ಬೇಯುತ್ತದೆ. ಇದನ್ನು ಕಲ್ಲಿನ ಅಥವಾ ಕಬ್ಬಿಣದ ಹೆಂಚಿನ ಮೇಲೆ ಬಳಸಬಹುದು. ಇದು ವೃತ್ತಾಕಾರದಲ್ಲಿದ್ದು ಮೇಲ್ಭಾಗದಲ್ಲಿ ಹಿಡಿಕೆ ಇರುತ್ತದೆ. ಇದರ ವ್ಯಾಸ ಸುಮಾರು ಒಂದು ಅಡಿ, ಸುಮಾರು ಒಂದೂವರೆ ಇಂಚು ಎತ್ತರವಿರುತ್ತದೆ. ಒಳಭಾಗವು ಟೊಳ್ಳಾಗಿದೆ. ಇದನ್ನು ಮಣ್ಣಿನಿಂದ ತಯಾರಿಸಲಾಗುತ್ತದೆ. ಇತ್ತೀಚಿಗೆ ಲೋಹಗಳಿಂದಲೂ ತಯಾರಾದ ಮುಚ್ಚಳಗಳು ಬಳಕೆಗೆ ಬಂದಿವೆ."
ದ್ವಿಮುಖ ಕಾಮದೇನು,"ಕಾಮಧೇನು ಎಂದರೆ ಬಯಸಿದ್ದನ್ನು ಕೊಡುವ ವಿಶಿಷ್ಟ ದೈವಿಕ ಹಸು ಎನ್ನುವುದು ಎಲ್ಲರಿಗೂ ತಿಳಿದಿದೆ. ಆದರೆ ಇದು ಹಸುವಿನ ಆಕಾರವನ್ನು ಮಾತ್ರ ಹೊಂದಿಲ್ಲ. ಕೊರಳಿಂದ ಮೇಲೆ ಇದು ಮಾನವಾಕೃತಿ(ಸ್ತ್ರೀ), ಉಳಿದುದು ಹಸುವಿನ ಆಕಾರ. ಜತೆಗೆ ರೆಕ್ಕೆಗಳು ಇವೆ. ವಿಶಿಷ್ಟ ಭಂಗಿಯಲ್ಲಿ ಮಂಡಿಯೂರಿದಂತಿರುವ ಈ ದ್ವಿಮುಖ (ಮುಂದೆ ಮತ್ತು ಹಿಂದೆ ಮುಖ ಮಾಡಿದೆ) ಕಾಮಧೇನು ಪ್ರತಿಮೆ ಅತ್ಯಂತ ಅಪೂರ್ವ ಎನ್ನಲಾಗುತ್ತದೆ. ಈ ಪ್ರತಿಮೆಯನ್ನು ಮರದಿಂದ ನಿರ್ಮಿಸಿದ್ದಾರೆ."
ನಾಕರಬಟ್ಲು,"ಉಪ್ಪಿನಕಾಯಿ, ಪಲ್ಯಗಳು, ಚಟ್ನಿ ಮುಂತಾದುವುಗಳನ್ನು ಬೇರೆ ಬೇರೆಯಾಗಿಯೇ ಹಾಕಿಕೊಂಡು ಏಕಕಾಲದಲ್ಲಿ ಬಡಿಸಲು ಬಳಸುವ ಸಾಧನ. ಇದರ ಬಟ್ಟಲುಗಳು ಸು. ನಾಲ್ಕು ಇಂಚು ವ್ಯಾಸ, ಐದು ಇಂಚು ಎತ್ತರ ಇರುತ್ತದೆ. ಊಟಕ್ಕೆ ಬಡಿಸುವಾಗ ಕಡಿಮೆ ಪಾತ್ರೆಗಳ ಬಳಕೆ ಮತ್ತು ಶ್ರಮದ ಉಳಿತಾಯಕ್ಕೆ ನಾಕರಬಟ್ಲಿನಿಂಥ ಸಲಕರಣೆಗಳು ಸಹಾಯಕವಾಗುತ್ತವೆ. ಇದರ ಬಟ್ಟಲುಗಳು ಹಿಡಿಕೆಯ ಸುತ್ತಲೂ ಇದ್ದು ಅವನ್ನು ಒಟ್ಟಾಗಿ ನೇತಾಡಿಸಲು ಸಾಧ್ಯ. ಇದನ್ನು ಮಣ್ಣು, ಮರ ಮತ್ತು ಲೋಹಗಳಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಇವು ಇಂದು ಹೋಟೆಲ್‌ಗಳಲ್ಲೂ ಹೆಚ್ಚು ಬಳಕೆಯಲ್ಲಿವೆ.`"
